No.;Sentimen;Tweet
31;Negatif;"b'SAUDARAKU SEBANGSA DAN SETANAH AIR \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\nPerhatikan dengan kesadaran sebagai MANUSIA WARAS \xe2\x9d\x97\n\n""IKN DI 2024 AKAN DI\xe2\x80\xa6 https://t.co/CzU433Xc1H'"
32;Positif;b'Dukung IKN Akan Meningkatkan Ekonomi #KotaDuniaUntukSemua Bengkulu mendukung'
33;Positif;b'Dukung IKN Nusantara mendorong perekonomian #KotaDuniaUntukSemua Bengkulu mendukung'
34;Negatif;"b""RT @yaniarsim: Setelah Obral Investasi IKN HGB 160 Thn Bebas Pajak 30 Thn, Disc  350 %.\nKini Ada 13 Pajak Khusus Untuk Danai IKN...\nKere' K\xe2\x80\xa6"""
35;Negatif;b'RT @SasmojoN: @OposisiCerdas Saking nggak lakunya IKN.\nMending program transmigrasi jaman dulu.'
36;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/wHdIRQpUuk'
37;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/XB80TEK1rS'
38;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
39;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/GkBuhurYOq'
40;Positif;b'Keran !! Presiden Jokowi luncurkan Metaverse IKN Nusantara\n#IbukotaNegara\n#IKN\n#SemangatNusantara https://t.co/DKWZF20HBD'
41;Positif;b'RT @Kiyai_MarufAmin: Pada kesempatan ini, saya mengajak Dubai Holding untuk menanamkan investasi pada sejumlah sektor di Indonesia. Mulai d\xe2\x80\xa6'
42;Negatif;b'RT @Nhahwa1: @OposisiCerdas Masih saja yg dipikirkan IKN ...padahal masyarakat kelas menengah ke bawag sedang menjerit akibat dampak kenaik\xe2\x80\xa6'
43;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
44;Negatif;b'@Paltiwest Negeri yang mana? Cepat2 Pemilu terus yang menang bukan jagoannya, terus Ibu Kota Negara pindah ke IKN,\xe2\x80\xa6 https://t.co/z1UcELQmiN'
45;Negatif;b'Selama ini merasa sebagai penguasa yang paling berkuasa seringkali enggan menerima masukan, saran dan nasihat dari\xe2\x80\xa6 https://t.co/hfI2S5WFUj'
46;Negatif;b'@bro_aLy9 Invest di twiter jelas untung....ikn sama ja dgn asemka'
47;Positif;b'Membuka lapangan kerja baru, masyarakat Aceh mendukung IKN Nusantara\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/PEe9NMRErS'
48;Positif;b'@Joane24641240 Membuka lapangan kerja baru, masyarakat Aceh mendukung IKN Nusantara\n\xe2\x9d\xa4\xef\xb8\x8f Aceh Hadir Mendukung\xe2\x80\xa6 https://t.co/sGYqlWMpOt'
49;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
50;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
51;Positif;b'RT @AlshaibaShihab: Indonesia ditangan Presiden Jokowi :\n\n65 bendungan \n36 ruas jalan tol\n15 bandara baru\nSirkuit Mandalika\nKereta api cepa\xe2\x80\xa6'
52;Positif;b'RT @PTPP_ID: #uPPdate dari Balikpapan (2/11), PTPP menandatangani dua kontrak pekerjaan di IKN \xe2\x9c\xa8\xef\xb8\x8f\n\nDua kontrak tersebut adalah Pembangunan\xe2\x80\xa6'
53;Negatif;b'RT @03__nakula: Eropa nangis liat Batu Bara dijadikan dinding pembatas jalan di IKN. \xf0\x9f\x98\x82'
54;Negatif;b'@txtdrpemerintah Pemerintah lebih pilih bangun IKN dibanding bangun pendidikan'
55;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
56;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
57;Negatif;b'@msaid_didu Udah.....bangun cepetan.\nASN di Departemen2 cepetan suruh pindah.\nGw proyeksikan akan muncul keributan2\xe2\x80\xa6 https://t.co/QECmu6180j'
58;Negatif;b'@geloraco Ayo tambah lagi apbn untuk IKN, kereta cepat dan mobil listrik.\n\nGa masalah $ 25 ribu ya, presidennya JEN\xe2\x80\xa6 https://t.co/HHGQ4ncFwg'
59;Negatif;b'RT @keuangannews_id: IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
60;Negatif;b'IKN- Presiden Sudah Berada di Jalan Buntu! https://t.co/gejEF0zanh'
61;Negatif;b'RT @YogaswaraWahyu: Pak @jokowi proyek IKN itu di batalkan saja, sy sebagai rakyat punya ide. Bagaimana jika di bangun penjara khusus disan\xe2\x80\xa6'
62;Negatif;b'@airkami_id Gak lama lagi penduduk Jakarta berkurang, pindang ke IKN'
63;Negatif;b'RT @guzel_amare: ya iyalah ... twitter mah sudah kliatan , nah IKN visi misi nya saja investor blm tahu ... mau bp sbg markreting pun , klo\xe2\x80\xa6'
64;Positif;b'@detikcom Kalau sdh ada transmigrasi ke IKN, akan seramai apa Jakarta, mungkin setelah 2024.?'
65;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
66;Negatif;b'@the_schloss @SantorinisSun @StefanAntonio__ @Out_Of_The_Bay GUOBLOKKK.\n\nIKN dan KCIC dan pembangunan sekitarnya,\xe2\x80\xa6 https://t.co/umnvq8Tvx4'
67;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
68;Positif;b'Lampung percaya IKN akan membawa perubahan di Indonesia\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/zPpvfhcXX1'
69;Positif;b'Masyarakat Lampung siap mengawal Pembangunan IKN untuk Kemajuan Indonesia\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/cLFT5c2Z8Y'
70;Positif;b'Pemindahan IKN Ke Kalimantan akan menjadi sejarah baru tersendiri, Ayo warga Lampung kita dukung Pembangunan IKN\xe2\x80\xa6 https://t.co/9weW0ckGMb'
71;Positif;b'Lampung percaya Banyak Keuntungan dan Banyak berkah yang kita peroleh dari perpindahan IKN\n\n#KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/OIN4Xzsl9I'
72;Positif;b'Masyarakat Lampung Mendukung Kebijakan Pembangunan IKN\n\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/1JB0PQuetE'
73;Negatif;b'@topan_solawase @Sirqieee @OposisiCerdas @mahfud Sapa yg diuntungkan,sapa yg dirugikan mayan tambah2 dana ikn....!!!!'
74;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
75;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
76;Negatif;"b""@prasmawon12 @KingCabbage12 @HukumDan @BowoEndarto @YaqutCQoumas @YaqutQoumas Yg bodoh itu orang2 kaya' loe itu,.yg\xe2\x80\xa6 https://t.co/qQc3gCK5HL"""
77;Positif;b'Wapres Tawarkan Investasi di IKN Nusantara ke Petinggi Dubai Holding\nhttps://t.co/jUGs1QFYHi'
78;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
79;Negatif;b'@fransiskusjurin Ikn durian.. Kompom'
80;Negatif;b'Pantes oligar pada panik dgn tanda buzzer membabi buta pengiringan narasi sesat nya.\nJk sampai jadi presiden niscay\xe2\x80\xa6 https://t.co/LYdUoiyZTb'
81;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
82;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
83;Negatif;b'@CNNIndonesia Zelensky bilang , udah lah joko , urus ikn aja ga mampu mw urus negera ku sdg konflik pla ,urus itu p\xe2\x80\xa6 https://t.co/YfQiFRzxWI'
84;Negatif;"b'RT @MT93990025: @msaid_didu IKN bisa saja nanti menjadi proyek gagal dan terkatung"" sepanjang masa'"
85;Negatif;b'RT @Johararif6: @NyaiiBubu Klo jadi IKN,saya yakin mayoritas mereka jd pengangguran tanpa job. Siapa yg berani ongkosi transport ke IKN ?'
86;Negatif;"b'@msaid_didu IKN bisa saja nanti menjadi proyek gagal dan terkatung"" sepanjang masa'"
87;Negatif;b'@Tan_Mar3M FIX ... HARAM HUKUMNYA KADRUN HIDUP DI IKN !!!!!'
88;Negatif;b'@NyaiiBubu Klo jadi IKN,saya yakin mayoritas mereka jd pengangguran tanpa job. Siapa yg berani ongkosi transport ke IKN ?'
89;Negatif;"b'RT @ferly_norman: @RamliRizal Udah begitu IKN Tetap jalan ya Bang @RamliRizal, keadaan ini disebut Noam Chomsky sbg ""Modern State Capitalis\xe2\x80\xa6'"
90;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
91;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
92;Negatif;b'RT @An_Kiiim: Prof Firman Noor :\xe2\x80\x9cHanya Anies Kandidat Capres yg berani lawan Oligarki\xe2\x80\x9d\n\nSependapat sm Prof.Firman, cuma pak Anies sbg kepal\xe2\x80\xa6'
93;Negatif;b'@bro_aLy9 mas Elon emoh invest IKN krn tau biaya bakal bengkak, klo kita bolak balik ditipu pasrah.'
94;Positif;b'RT @Joane24641240: IKN Akan Jadi Representasi Bangsa Yang Unggul\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\n#IKNPemerataanEkonomi\n#IKNt\xe2\x80\xa6'
95;Negatif;b'RT @RagilSemar: Diawali dari konsep pendanaan IKN yang menjadikan pemerintah sebagai penyewa di sana. \nTentu ini akal2an oligarki.\nOligarki\xe2\x80\xa6'
96;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
97;Negatif;b'Eropa nangis liat Batu Bara dijadikan dinding pembatas jalan di IKN. \xf0\x9f\x98\x82'
98;Negatif;"b""RT @yaniarsim: Setelah Obral Investasi IKN HGB 160 Thn Bebas Pajak 30 Thn, Disc  350 %.\nKini Ada 13 Pajak Khusus Untuk Danai IKN...\nKere' K\xe2\x80\xa6"""
99;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
100;Negatif;b'@bro_aLy9 orang indonesia juga bukan kok dipaksa inves ikn wkwk mending ngibul dululah https://t.co/n6hiYUSjTR'
101;Negatif;b'@ApriliaLin @KPK_RI Hehh.bego...itu freeport gimana,?pertambangan diluar jawa gimana?...IKN dan masa depan hutan kalimantan gimana??'
102;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
103;Negatif;b'RT @YogaswaraWahyu: Pak @jokowi proyek IKN itu di batalkan saja, sy sebagai rakyat punya ide. Bagaimana jika di bangun penjara khusus disan\xe2\x80\xa6'
104;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
105;Negatif;b'RT @OposisiCerdas: Anggaran Pembangunan Infrastruktur Dasar IKN Membengkak Jadi Rp 58 Triliun\nhttps://t.co/jfYxmjtgbe'
106;Positif;b'RT @OposisiCerdas: Instruksi Presiden, Pemerintah Akan Bangun Rumah Penduduk di IKN\nhttps://t.co/Mza0yYaB7X'
107;Negatif;"b'RT @t0n1h3r5_83: INGATLAH PARPOL2 YG MENYETUJUI &amp; MENGESYAHKAN IKN . \n\nJANGAN PILIH &amp; TENGGELAMKAN \xe2\x80\xbc\xef\xb8\x8f \n\n#Semangat411TurunkanJokowi \n#Semang\xe2\x80\xa6'"
108;Negatif;b'RT @papa_loren: Pemerintah Targetkan IKN Dihuni 200 Ribu Orang pada 2024.\n\nDr 200rb itu temen, sodara, tante, ponakan, adek, mertus JETLI a\xe2\x80\xa6'
109;Negatif;b'RT @Tan_Mar3M: Penduduk sepi. Makin ragu aja investor nanam modal \xf0\x9f\xa4\xa3 https://t.co/OvHL1zxumw'
110;Positif;b'Bersama kita dukung dan sukseskan pembangunan IKN Nusantara \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/frjw6eek3m'
111;Positif;b'Bersama kita dukung dan sukseskan pembangunan IKN Nusantara \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/gZD3laHwfP'
112;Negatif;b'RT @Tan_Mar3M: Penduduk sepi. Makin ragu aja investor nanam modal \xf0\x9f\xa4\xa3 https://t.co/OvHL1zxumw'
113;Positif;b'Bersama kita dukung dan sukseskan pembangunan IKN Nusantara \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8\n#KotaDuniaUntukSemua\n#IKNSejahterakanIndonesia\xe2\x80\xa6 https://t.co/79J5IfaK1r'
114;Negatif;b'RT @HendryanaLubis: @s1lverpegasus Dia pasti mendukung sapa yg bisa lanjutkan ikn yg dia idaman\n\n#Semangat114TurunkanJokowi \n#Semangat411Tu\xe2\x80\xa6'
115;Positif;b'Ini menjadi instruksi Presiden @jokowi agar pembangunan IKN betul betul merefleksikan cara-cara pembangunan yang id\xe2\x80\xa6 https://t.co/WbvMoVmSEG'
116;Negatif;b'RT @Tan_Mar3M: Coba istana adakan poling. \n\nBersediakah ASN junto PNS pusat pindah ke IKN?.'
117;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
118;Negatif;b'@M45Broo Mimpi kecebong anjing kejauhan , gw tw dia kl ada pemimpin obral ikn ke cukong \xf0\x9f\x98\x9d\xf0\x9f\x98\x9d\xf0\x9f\x98\x9d yg buat nkri rusak yg c\xe2\x80\xa6 https://t.co/WHV9fskOY2'
119;Negatif;b'@msaid_didu Memang tidak menarik buat investasi, makanya dikasih insentif pajak, periode HGU/HGB dsb, tapi itupun B\xe2\x80\xa6 https://t.co/HtmWhKoWUd'
120;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
121;Negatif;b'@yusuf_dumdum Kantor PBNU di IKN kapan akan diresmikan ?'
122;Negatif;b'RT @msaid_didu: Pddk 200.000 yg sebagian besar adalah ASN yg gajinya sdh habis utk cicilan rumah, kendaraan dan biaya anak sekolah shg ters\xe2\x80\xa6'
123;Positif;b'RT @Merdekasatu1: @maryshelparaiso Aku wong Jawa Timur siap mendkung penuh IKN #JokowiBapakInfrastruktur #KotaDuniaUntukSemua #IKNSejahtera\xe2\x80\xa6'
124;Negatif;"b'RT @ferly_norman: @RamliRizal Udah begitu IKN Tetap jalan ya Bang @RamliRizal, keadaan ini disebut Noam Chomsky sbg ""Modern State Capitalis\xe2\x80\xa6'"
125;Negatif;b'@ariefsyarief07 Peluang tersebut termasuk potensi pengembangan global halal hub, IKN Nusantara, dan hilirisasi komo\xe2\x80\xa6 https://t.co/zDalDwS5do'
126;Positif;b'@maryshelparaiso Aku wong Jawa Timur siap mendkung penuh IKN #JokowiBapakInfrastruktur #KotaDuniaUntukSemua\xe2\x80\xa6 https://t.co/896qy9ybwB'
127;Positif;b'@ariefsyarief07 KADIN Indonesia proaktif memperkenalkan dan mengajak pengusaha global berinvestasi di IKN #b20\xe2\x80\xa6 https://t.co/PaLY0tb1ML'
128;Negatif;b'RT @gurameikan100: @jokowi @ZelenskyyUa Mau nawarin tanah di IKN ya pak ...? \nPliss impes tu Mai kantri ...'
129;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
130;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
131;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
132;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
133;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
134;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
135;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
136;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
137;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
138;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
139;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
140;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
141;Positif;b'RT @Opposih6890bio: @maryshelparaiso IKN Berdampak Positifterhadap pemerataan pembangunan dan ekonomi Jawa Timur #KotaDuniaUntukSemua #IKN\xe2\x80\xa6'
142;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
143;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
144;Positif;b'RT @BergetarNusa: @maryshelparaiso Arek Jawa Timur dukung dan sukseskan pembangunan IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndo\xe2\x80\xa6'
145;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
146;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
147;Positif;b'RT @FGelael: @maryshelparaiso dibangunnya IKN Nusantara di dukung semua elemen masyarakat di Jawa Timur, IKN akan membawa Indonesia semakin\xe2\x80\xa6'
148;Positif;b'RT @berita_mineral: @maryshelparaiso IKN akan bawa manfaat Positifke seluruh wilayah juga jawa timur #JokowiBapakInfrastruktur #KotaDuniaU\xe2\x80\xa6'
149;Negatif;b'RT @Honkidesuyo11: IKN Nusantara disebut kota pertama di dunia terapkan forest city\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi\xe2\x80\xa6'
150;Positif;b'RT @Honkidesuyo11: IKN Nusantara Siap jadi Pusat Ekonomi Masa Depan\n#iknnusantara\n#dukungiknnusantara\n#iknpemerataanekonomi https://t.co/9P\xe2\x80\xa6'
